RegionName,RegionType,StateName,State,City,Metro,CountyName,2024-11-30
8701,zip,NJ,NJ,Lakewood,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,261112.12161947423
11368,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,368502.1259508797
77084,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,183046.511144998
11385,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,560388.8334492221
78660,zip,TX,TX,Pflugerville,"Austin-Round Rock-Georgetown, TX",Travis County,332637.620170647
11208,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,422781.5668587368
60629,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,142047.83931399728
90650,zip,CA,CA,Norwalk,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,567361.7189098289
91331,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,496006.36396107194
37013,zip,TN,TN,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County,267608.1932081706
11236,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,396457.0467467991
10467,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,224002.7380813436
11373,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,415115.9891082728
11226,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,587669.7756323339
11207,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,356075.53627590294
30044,zip,GA,GA,Lawrenceville,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,292750.0591480341
90044,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,484608.1472659997
92336,zip,CA,CA,Fontana,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,575601.5289271005
94565,zip,CA,CA,Pittsburg,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,348025.45766969986
77573,zip,TX,TX,League City,"Houston-The Woodlands-Sugar Land, TX",Galveston County,159927.1924893924
92335,zip,CA,CA,Fontana,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,330578.10418239556
90201,zip,CA,CA,Bell,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,526777.3694236892
90250,zip,CA,CA,Hawthorne,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,801538.7719304273
10025,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,1013526.4923226832
90805,zip,CA,CA,Long Beach,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,404506.3893810956
11214,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,556189.020238581
60618,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,369017.535958692
93307,zip,CA,CA,Bakersfield,"Bakersfield, CA",Kern County,255536.5904150719
