RegionName,RegionType,StateName,State,City,Metro,CountyName,2024-11-30
77494,zip,TX,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,498858.2310967553
8701,zip,NJ,NJ,Lakewood,"New York-Newark-Jersey City, NY-NJ-PA",Ocean County,752778.2591715854
77449,zip,TX,TX,Katy,"Houston-The Woodlands-Sugar Land, TX",Harris County,279375.6968488803
11368,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,897387.0726563361
77084,zip,TX,TX,Houston,"Houston-The Woodlands-Sugar Land, TX",Harris County,273184.7693634828
79936,zip,TX,TX,El Paso,"El Paso, TX",El Paso County,213170.39261601353
11385,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,836613.5865121926
78660,zip,TX,TX,Pflugerville,"Austin-Round Rock-Georgetown, TX",Travis County,396012.53522529686
11208,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,688545.092218102
90011,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,596678.5188410828
77433,zip,TX,TX,Cypress,"Houston-The Woodlands-Sugar Land, TX",Harris County,430320.3988575146
60629,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,253886.1835575396
90650,zip,CA,CA,Norwalk,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,752071.8496530497
91331,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,742085.2160199758
37013,zip,TN,TN,Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN",Davidson County,370957.521173999
11236,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,687787.8716086588
10467,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,616581.5834926359
11373,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Queens County,939951.0841465616
11226,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,1124876.818734018
11207,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,647582.9624734604
30044,zip,GA,GA,Lawrenceville,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,366851.2097798127
90044,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,647138.4879229441
92336,zip,CA,CA,Fontana,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,709117.6835479595
94565,zip,CA,CA,Pittsburg,"San Francisco-Oakland-Berkeley, CA",Contra Costa County,589019.9799528474
77573,zip,TX,TX,League City,"Houston-The Woodlands-Sugar Land, TX",Galveston County,381669.5873490001
92335,zip,CA,CA,Fontana,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,562920.485086321
90201,zip,CA,CA,Bell,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,676232.4341138363
90250,zip,CA,CA,Hawthorne,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,874464.6306481444
10025,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",New York County,1515084.723297406
75052,zip,TX,TX,Grand Prairie,"Dallas-Fort Worth-Arlington, TX",Dallas County,329357.7792135437
90805,zip,CA,CA,Long Beach,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,705104.27992403
11214,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,1046280.2026841148
60618,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,591807.300603676
93307,zip,CA,CA,Bakersfield,"Bakersfield, CA",Kern County,311776.9608709168
90280,zip,CA,CA,South Gate,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,682442.7271323447
11234,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,767747.1345498053
91342,zip,CA,CA,Los Angeles,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles County,827901.6777888859
92683,zip,CA,CA,Westminster,"Los Angeles-Long Beach-Anaheim, CA",Orange County,1051765.350251749
10314,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Richmond County,705731.1301018764
11220,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,1111719.143827268
60639,zip,IL,IL,Chicago,"Chicago-Naperville-Elgin, IL-IN-WI",Cook County,306964.24053607305
78245,zip,TX,TX,San Antonio,"San Antonio-New Braunfels, TX",Bexar County,259673.06340411375
11219,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,1461068.1876632571
92503,zip,CA,CA,Riverside,"Riverside-San Bernardino-Ontario, CA",Riverside County,642480.1758114523
78521,zip,TX,TX,Brownsville,"Brownsville-Harlingen, TX",Cameron County,168409.10554318086
11206,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,1241129.9540269717
11221,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,1355428.9884299317
10456,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Bronx County,537052.894421941
92345,zip,CA,CA,Hesperia,"Riverside-San Bernardino-Ontario, CA",San Bernardino County,440071.21898669825
77479,zip,TX,TX,Sugar Land,"Houston-The Woodlands-Sugar Land, TX",Fort Bend County,541335.7649598424
91911,zip,CA,CA,Chula Vista,"San Diego-Chula Vista-Carlsbad, CA",San Diego County,792705.6907444032
30043,zip,GA,GA,Lawrenceville,"Atlanta-Sandy Springs-Alpharetta, GA",Gwinnett County,416758.591012596
11223,zip,NY,NY,New York,"New York-Newark-Jersey City, NY-NJ-PA",Kings County,1253964.0476793395
78542,zip,TX,TX,Edinburg,"McAllen-Edinburg-Mission, TX",Hidalgo County,197810.7901860621
